영화명,감독,배우,장르,등급,전국관객수
미션 임파서블 3,J.J. 에이브럼스,톰 크루즈/필립 세이모어 호프만/빙 라메스/빌리 크루덥/미셸 모나한/조나단 리스 마이어스/케리 러셀/매기 큐/로렌스 피시번,액션,15세,5740789
가문의 위기(가문의 영광2),정용기,신현준/김원희/김수미/탁재훈/공형진/임형준/정준하/김해곤/정호빈,코미디,15세,5635266
숨바꼭질,허정,손현주/문정희/전미선/김원해/정준원/김수안/김지영/이준혁/노수산나/이영석/리민/성유빈,스릴러,15세,5602543
더 테러 라이브,김병우,하정우/이경영/전혜진/이다윗/김소진/김홍파/김해인/한성천/이청희/강진아/최진호/강신철,범죄,15세,5583596
쥬라기 월드,콜린 트레보로우,크리스 프랫/브라이스 달라스 하워드/빈센트 도노프리오/타이 심킨스/닉 로빈슨/주디 그리어/케이티 맥그라스/제이크 존슨/이르판 칸/B.D. 웡/오마 사이/브라이언 티,액션,12세,5546792
의형제,장훈,송강호/강동원/전국환/박혁권/윤희석/최정우/권범택/정인기/조석현/차엽,드라마,15세,5507106
감시자들,조의석/김병서,설경구/정우성/한효주/김병옥/진경/준호/손민석/변요한/강신하/이동휘/박지훈/이동진,범죄,15세,5496547
2012,롤랜드 에머리히,존 쿠삭/아만다 피트/치웨텔 에지오포/탠디 뉴튼/토마스 맥카시/우디 해럴슨/대니 글로버/친 한/모갠 릴리/존 빌링슬리/조핸 어브,SF,12세,5462953
검은 사제들,장재현,김윤석/강동원/박소담/김의성/손종학/이호재/남일우/김병옥/조수향/박웅/이정열/민진웅,미스터리,15세,5440945
완득이,이한,김윤석/유아인/박수영/이자스민/김상호/김영재/박효주/강별/김동영,드라마,12세,5310510
트랜스포머: 사라진 시대,마이클 베이,마크 월버그/니콜라 펠츠/잭 레이너/스탠리 투치/리빙빙/소피아 마일즈/켈시 그래머/피터 쿨렌/T.J. 밀러/한경/존 굿맨/와타나바 켄,액션,12세,5295801
월드 워 Z,마크 포스터,브래드 피트/미레유 에노스/다니엘라 케르테스/제임스 뱃지 데일/루디 보우큰/매튜 폭스/루스 네가/피터 카팔디/엘예스 가벨/데이빗 모스/스털링 제린스/모리츠 블라이브트로이,드라마,15세,5237525
타워,김지훈,설경구/손예진/김상경/김인권/안성기/송재호/이주실/이한위/권태원/정인기/차인표/전배수,드라마,12세,5181014
말아톤,정윤철,조승우/김미숙/이기영/백성현/안내상,드라마,전체관,5148022
추격자,나홍진,김윤석/하정우/서영희/구본웅/김유정/정인기/박효주/최정우/민경진,범죄,청소년,5071619
쿵푸팬더 2,여인영,잭 블랙/더스틴 호프만/성룡/안젤리나 졸리/세스 로건/루시 리우/데이빗 크로스/제임스 홍/양자경/장 끌로드 반담/빅터 가버/게리 올드만/데니스 헤이스버트,애니메이션,전체관,5062722
인사이드 아웃,피트 닥터,에이미 포엘러/필리스 스미스/민디 캘링/빌 헤이더/루이스 블랙/케이틀린 디아스/카일 맥라클란/다이안 레인/리차드 카인드,애니메이션,전체관,4968687
캐리비안의 해적: 세상의 끝에서,고어 버빈스키,조니 뎁/올랜도 블룸/키이라 나이틀리/스텔란 스카스가드/빌 나이/주윤발/제프리 러쉬/잭 데이븐포트/케빈 맥널리/나오미 해리스/토 홀랜더/조나단 프라이스,액션,12세,4966571
스파이더맨 3,샘 레이미,토비 맥과이어/커스틴 던스트/제임스 프랭코/토마스 헤이든 처치/토퍼 그레이스/브라이스 달라스 하워드/로즈마리 해리스/J.K. 시몬스/제임스 크롬웰/테레사 러셀/딜란 베이커/빌 넌,액션,12세,4935660
바람과 함께 사라지다,김주호,차태현/오지호/민효린/성동일/신정근/고창석/송종호/이채영/천보근/김향기/김길동/김구택,코미디,12세,4897551
마션,리들리 스콧,맷 데이먼/제시카 차스테인/세바스찬 스탠/제프 다니엘스/케이트 마라/크리스틴 위그/마이클 페나/숀 빈/치웨텔 에지오포/엑셀 헨니/베네딕 웡/맥켄지 데이비스,액션,12세,4875494
어메이징 스파이더맨,마크 웹,앤드류 가필드/엠마 스톤/리스 이판/마틴 쉰/샐리 필드/엠베스 데이비츠/크리스 질카/C. 토마스 하우엘/이르판 칸/캐리 콜맨/데니스 리어리/캠벨 스코트,액션,12세,4853123
조선명탐정 : 각시투구꽃의 비밀,김석윤,김명민/오달수/한지민/이재용/우현/예수정/최무성/정인기,코미디,12세,4786259
군도: 민란의 시대,윤종빈,하정우/강동원/이경영/이성민/조진웅/마동석/윤지혜/주진모/송영창/정만식/김병옥/김종구,사극,15세,4774895
범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,최민식/하정우/조진웅/마동석/곽도원/김성균/김종수/김종구/권태원/김혜은/김영선/송영창,범죄,청소년,4710454
엣지 오브 투모로우,더그 라이만,톰 크루즈/에밀리 블런트/빌 팩스톤/라라 펄버/샬롯 라일리/조나스 암스트롱/브렌단 글리슨/마리안 장 밥티스트/킥 거리/리 아스퀴스 코/토니 웨이/테렌스 메이나드,액션,12세,4697142
신세계,박훈정,이정재/최민식/황정민/박성웅/송지효/김윤성/나광훈/박로사,범죄,청소년,4682492
쿵푸 팬더,마크 오스본/존 스티븐슨,잭 블랙/안젤리나 졸리/더스틴 호프만/성룡/루시 리우/이안 맥쉐인/데이빗 크로스/세스 로건/랜달 덕 김/마이클 클락 던칸/댄 포글러/제임스 홍,애니메이션,전체관,4673009
도가니,황동혁,공유/정유미/김현수/정인서/백승환/장광/김민상/임현성/김주령/엄효섭/전국환/최진호/김지영/박혜진/김지영/엄지성/장유/남명렬,드라마,청소년,4662822
캐리비안의 해적 : 망자의 함,고어 버빈스키,조니 뎁/올랜도 블룸/키이라 나이틀리/빌 나이/스텔란 스카스가드/잭 데이븐포트/케빈 맥널리/나오미 해리스,액션,12세,4628903
박물관이 살아있다!,숀 레비,벤 스틸러/칼라 구기노/딕 반 다이크/미키 루니/빌 콥스/제이크 체리/릭키 제바이스/로빈 윌리엄스,코미디,전체관,4612831
내 아내의 모든 것,민규동,임수정/이선균/류승룡/이광수/이도아/김보궁/염해란/이새로미/이진희/김선하,코미디,15세,4598583
터미네이터 : 미래전쟁의 시작,맥지,크리스찬 베일/샘 워싱턴/안톤 옐친/문 블러드굿/브라이스 달라스 하워드/커먼/제인 알렉산더,SF,15세,4568891
맘마미아!,필리다 로이드,메릴 스트립/피어스 브로스넌/콜린 퍼스/스텔란 스카스가드/줄리 월터스/도미닉 쿠퍼/아만다 사이프리드/크리스틴 바란스키/후안 파블로 디 파체/조지 게우기우/엔조 스퀼리노 주니어/크리스 자비스/애슐리 릴레이/클레어 쿠이즈 코놀리/레이첼 맥도웰/미아 소테리우,멜로/로맨스,12세,4554785
연가시,박정우,김명민/문정희/김동완/이하늬/엄지성/염현서/강신일/조덕현/전국환/최정우/이형철/정인기/송영창/김세동/조한철/민경진,공포(호러),15세,4513026
아이언맨 2,존 파브로,로버트 다우니 주니어/기네스 팰트로/돈 치들/스칼렛 요한슨/미키 루크/샘 록웰/사무엘 L. 잭슨/클락 그레그,SF,12세,4498335
해리포터와 죽음의 성물2,데이빗 예이츠,다니엘 래드클리프/엠마 왓슨/루퍼트 그린트/보니 라이트/랄프 파인즈/톰 펠튼/헬레나 본햄 카터/앨런 릭먼/빌 나이/게리 올드만/제이슨 아이삭스마이클 갬본/이반나 린치,판타지,전체관,4400298
아이언맨,존 파브로,로버트 다우니 주니어/테렌스 하워드/제프 브리지스/기네스 팰트로/레슬리 빕/샤운 토웁/페런 테이어/세이드 바드레야/빌 스미트로비치/클락 그레그/팀 귀니,SF,12세,4316003
엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,휴 잭맨/제임스 맥어보이/마이클 패스벤더/제니퍼 로렌스/할리 베리/엘렌 페이지/이안 맥켈런/패트릭 스튜어트/니콜라스 홀트/피터 딘클리지/숀 애쉬모어/부부 스튜어트/오마 사이/루카스 틸/다니엘 커드모어/케일럽 랜드리 존스/판빙빙/에반 피터스,액션,12세,4313871
강철중: 공공의 적 1-1,강우석,설경구/정재영/강신일/문성근/이문식/유해진/정원중/김남길/연제욱,드라마,15세,4300670
킹콩,피터 잭슨,나오미 왓츠/잭 블랙/애드리언 브로디/앤디 서키스/제이미 벨/카일 챈들러/로보찬/토마스 크레취만,드라마,15세,4232430
어메이징 스파이더맨 2,마크 웹,앤드류 가필드/엠마 스톤/제이미 폭스/데인 드한/콜므 포어/펠리시티 존스/폴 지아마티/샐리 필드/엠베스 데이비츠/캠벨 스코트/마튼 초카스/크리스 쿠퍼/브라이언 헤일리/비제이 노박,액션,12세,4168350
인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,해리슨 포드/케이트 블란쳇/카렌 알렌/샤이아 라보프/레이 윈스턴/존 허트/짐 브로드벤트/오고어 지지카인/디미트리 디아첸코/일리아 볼로크/엠마누엘 토도로브/파벨 린치니코프,액션,12세,4136101
용의자,원신연,공유/박희순/조성하/유다인/김성균/조재윤/박지일/김민재,액션,15세,4131248
건축학개론,이용주,엄태웅/한가인/이제훈/수지/조정석/유연석/김동주/이승호/김의성/박수영/조현철,멜로/로맨스,12세,4110645
태풍,곽경택,장동건/이정재/이미연/김갑수/데이비드 맥기니스/차트하퐁 판타나운쿨/허욱/선호진/강신성일/박찬영/김란흔/민지환,드라마,15세,4094395
미이라 3:황제의 무덤,롭 코헨,브렌든 프레이저/이연걸/마리아 벨로/존 한나/양자경/루크 포드/이사벨라 롱/황추생/러셀 왕/리암 커닝햄/데이빗 칼더/멍광메이/량톈/앨버트 관,액션,12세,4090795
7급 공무원,신태라,김하늘/강지환/류승룡/장영남/강신일,코미디,12세,4088799
다크 나이트,크리스토퍼 놀란,크리스찬 베일/히스 레저/아론 에크하트/마이클 케인/매기 질렌할/게리 올드만/모건 프리먼/모니크 커넨/론 딘/킬리언 머피/친 한/네스터 카보넬/에릭 로버츠/리치 코스터/안소니 마이클 홀,범죄,15세,4087355
댄싱퀸,이석훈,황정민/엄정화/이한위/정성화/라미란/이대연/정규수/서동원,코미디,12세,4057546
