영화명,감독,배우,장르,등급,전국관객수
걸리버 여행기,롭 레터맨,잭 블랙/제이슨 세걸/에밀리 블런트/아만다 피트/빌리 코놀리/크리스 오다우드/제임스 코든/캐서린 테이트/올리 알렉산더,코미디,전체관,1762070
대호,박훈정,최민식/정만식/김상호/성유빈/정석원/김홍파/라미란/이은우/현승민,사극,12세,1761964
내셔널 트레져:비밀의 책,존 터틀타웁,니콜라스 케이지/저스틴 바사/다이앤 크루거/존 보이트/헬렌 미렌/에드 해리스/하비 케이틀/브루스 그린우드/타이 버렐,액션,12세,1756319
하울의 움직이는 성,미야자키 하야오,바이쇼 치에코/기무라 타쿠야/가슈인 타츠야/카미키 류노스케/이사키 미츠노리/미와 아키히로/오오이즈미 요/오오츠카 아키오/하라다 다이지로,애니메이션,전체관,1746165
거룩한 계보,장진,정재영/정준호/류승룡/민지환/이문수/주진모/이상훈/박정기/김규철,드라마,15세,1744677
이미테이션 게임,모튼 틸덤,베네딕트 컴버배치/키이라 나이틀리/매튜 구드/로리 키니어/엘렌 리치/매튜 비어드/찰스 댄스/마크 스트롱/스티브 워딩튼,드라마,15세,1743774
전설의 주먹,강우석,황정민/유준상/이요원/윤제문/정웅인/성지루/강성진/박정민/지우,드라마,청소년,1737253
연애의 목적,한재림,박해일/강혜정/이대연/박그리나/박준명,드라마,18세,1735977
제보자,임순례,박해일/유연석/이경영/박원상/류현경/송하윤/감강현/김수안/김중기/남명렬,드라마,12세,1735640
악마는 프라다를 입는다,데이빗 프랭클,메릴 스트립/앤 해서웨이/스탠리 투치/에밀리 블런트/아드리언 그레니어/트레이시 톰스/리치 소머/사이먼 베이커/다니엘 선자타,드라마,12세,1730719
주먹이 운다(Crying Fist),류승완,최민식/류승범/임원희/변희봉/나문희/기주봉,드라마,15세,1728477
러브픽션,전계수,하정우/공효진/조희봉/이병준/지진희/유인나/김성기/곽도원,멜로/로맨스,15세,1726202
스타워즈 에피소드3 - 시스의복수,조지 루카스,이완 맥그리거/나탈리 포트만/헤이든 크리스텐슨/이언 맥디어미드/프랭크 오즈/지미 스미츠/피터 메이휴/아흐메드 베스트/테무에라 모리슨,SF,전체관,1722800
언터처블: 1%의 우정,올리비에르 나카체/에릭 토레다노,프랑수아 클루제/오마 사이/앤 르 니/클로딜 몰레/알바 가이아 크라게데 벨루기/오드리 플뢰로/조시핀 드 모/그레고이레 오에스테르만/프랑소와 카론,코미디,12세,1719772
평양성,이준익,정진영/이문식/류승룡/윤제문/선우선/김민상/송창곤/이광수/신정근,전쟁,12세,1717566
샌 안드레아스,브레드 페이튼,드웨인 존슨/알렉산드라 다드다리오/칼라 구기노/콜튼 하인즈/폴 지아마티/윌윤리/이안 그루처드/아치 판자비/카일리 미노그,액션,12세,1714071
파파로티,윤종찬,한석규/이제훈/오달수/강소라/조진웅/이재용/진경/이상훈/이도연,드라마,15세,1713891
밀양,이창동,전도연/송강호/조영진/김영재/선정엽/송미림/김미향/이윤희/김종수,드라마,15세,1710364
쎄시봉,김현석,정우/김윤석/한효주/김희애/진구/장현성/강하늘/조복래/권해효/최규환,멜로/로맨스,15세,1707487
님은 먼 곳에,이준익,수애/정진영/정경호/주진모/신현탁/박윤호/이주실,드라마,15세,1706576
토르: 천둥의 신,케네스 브래너,크리스 헴스워스/나탈리 포트만/톰 히들스턴/안토니 홉킨스/스텔라 스카스가드/캣 데닝스/클락 그레그/이드리스 엘바/콜므 포어,액션,12세,1694529
조폭마누라3,조진규,서기/이범수/현영/오지호/조희봉,액션,15세,1690465
불꽃처럼 나비처럼,김용균,조승우/수애/천호진/최재웅/김영민/박민희/고수희/송희연/이용녀,멜로/로맨스,15세,1690294
점퍼,더그 라이만,헤이든 크리스텐슨/사무엘 L. 잭슨/제이미 벨/레이첼 빌슨/다이안 레인/마이클 루커/안나소피아 롭/맥스 티에리옷/제시 제임스,SF,15세,1685405
피끓는 청춘,이연우,박보영/이종석/이세영/김영광/권해요/김희원/라미란/신현탁/박정민,코미디,15세,1676040
마다가스카의 펭귄,에릭 다넬/사이몬 J.스미스,베네딕트 컴버배치/존 말코비치/톰 맥그리스/크리스 밀러/크리스토퍼 나이츠/켄 정/아넷 마헨드루/피터 스토메어/콘래드 버논,애니메이션,전체관,1661230
아이스 에이지 4: 대륙 이동설,스티브 마티노/마이크 트메이어,존 레귀자모/레이 로마노/데니스 리어리/퀸 라티파/제니퍼 로페즈/숀 윌리엄 스코트/쿠널 나이어/알란 터딕/조쉬 펙,애니메이션,전체관,1648070
공모자들,김홍선,임창정/최다니엘/오달수/조윤희/정지윤/조달환/이영훈/신승환/최일화,범죄,청소년,1646142
그대를 사랑합니다,추창민,이순재/윤소정/송재호/김수미/오달수/송지효/이상훈/김비비/이준혁,드라마,15세,1640351
고死 : 피의 중간고사,창,이범수/윤정희/남규리/김범/손여은/이얼/김소희/공정환,공포(호러),15세,1634051
마다가스카3 : 이번엔 서커스다!,에릭 다넬/톰 맥그라스/콘래드 베논,벤 스틸러/데이빗 쉼머/제이다 핀켓 스미스/크리스 록/프란시스 맥도맨드/제시카 차스테인/사챠 바론 코헨/세드릭 더 엔터테이너/앤디 리치터,애니메이션,전체관,1626704
블랙 스완,대런 아로노프스키,나탈리 포트만/뱅상 카셀/밀라 쿠니스/바바라 허쉬/위노나 라이더/벤자민 마일피드/세니아 솔로/크리스티나 아나파우/자넷 몽고메리,드라마,청소년,1623199
분노의 질주: 언리미티드,저스틴 린,빈 디젤/폴 워커/드웨인 존슨/조다나 브류스터/타이레스/루다크리스/맷 슐즈/성 강/갤 가돗,스릴러,15세,1621973
마다가스카,에릭 다넬/톰 맥그라스/콘래드 베논,벤 스틸러/크리스 록/데이빗 쉼머/제이다 핀켓 스미스/세드릭 더 엔터테이너/앤디 리치터/톰 맥그라스/사챠 바론 코헨/크리스 밀러,애니메이션,전체관,1620031
권순분여사 납치사건,김상진,나문희/강성진/유해진/유건/박상면/박준면/정규수,코미디,15세,1619190
무방비도시,이상기,김명민/손예진/김해숙/손병호/심지호/김병옥/박길수/도기석/윤유선,범죄,15세,1613728
우아한 거짓말,이한,김희애/고아성/김유정/김향기/유아인/성동일/천우희/유연미/박수영,드라마,12세,1613392
하울링,유하,송강호/이나영/신정근/이성민/임현성/정진/장인호/조영진/남보라,범죄,15세,1612554
두근두근 내 인생,이재용,강동원/송혜교/조성목/백일섭/허준석/김소진/차은우/채서진/최윤석,드라마,12세,1611519
복면달호,김상찬/김현수,차태현/임채무/이소연/정석용/이병준/박선우/박영서/정승우/윤홍규,코미디,12세,1611192
스타트렉 다크니스,J.J. 에이브럼스,크리스 파인/제커리 퀸토/조 샐다나/베네딕트 컴버배치/칼 어반/사이먼 페그/안톤 엘친/존 조/앨리스 이브,액션,12세,1605271
로빈 후드,리들리 스콧,러셀 크로우/케이트 블란쳇/막스 폰 시도우/마크 스트롱/대니 휴스턴/매튜 맥퍼딘/케빈 두런드/윌리엄 허트/마크 에디,액션,15세,1596574
더 폰,김봉주,손현주/엄지원/배성우/노정의/장인섭/조달환/이철민/황석정/황보라,스릴러,15세,1593694
300: 제국의 부활,노암 머로,에바 그린/설리반 스탭플턴/로드리고 산토로/레나 헤디/한스 매디슨/앤드류 티어난/아쉬라프 바롬/앤드류 프레빈/데이비드 웬햄,액션,청소년,1593116
간 큰 가족,조명남,감우성/김수로/신구/김수미/성지루/신이/이칸희/이용이/임형준,코미디,12세,1593038
라이프 오브 파이,이안,수라즈 샤르마/이르판 칸/라프 스팰/아딜 후세인/타부/제라드 드빠르디유,어드벤처,전체관,1588373
지구가 멈추는 날,스콧 데릭슨,키아누 리브스/제니퍼 코넬리/제이든 스미스/캐시 베이츠/존 햄/존 클리즈/카일 챈들러,SF,12세,1576333
적벽대전:거대한 전쟁의 시작,오우삼,양조위/금성무/장풍의/장첸/자오웨이/후준/나카무라 시도/린즈링/우용,액션,15세,1573621
무적자,송해성,주진모/송승헌/김강우/조한선/이경영/김지영/김해곤/임형준/서태화,드라마,15세,1571432
원스어폰어타임,정용기,박용우/이보영/김수현/성동일/김응수/안길강/조희봉/김구택/강종인,액션,12세,1562486
위플래쉬,다미엔 차젤레,마일즈 텔러/J.K. 시몬스/멜리사 베노이스트/폴 레이저/오스틴 스토웰/네이트 랭/제이슨 블레어/코피 서리보/크리스 멀키,드라마,15세,1561815
야수와 미녀,이계벽,류승범/신민아/김강우/안길강/이영숙/은정,코미디,12세,1561282
마파도2,이상훈,이문식/김지영/여운계/김을동/김형자/길해연/이규한/김양우/이철민,코미디,12세,1560297
용의자X,방은진,류승범/이요원/조진웅/김윤성/김보라/이석준/임성민/곽민호/권해효,미스터리,15세,1552055
해바라기,강석범,김래원/김해숙/허이재/김병옥/김정태/한정수/지대한,액션,15세,1543429
유감스러운 도시,김동원,정준호/정웅인/정운택/박상민/김상중/한고은/선우재덕/박용기/김대희,코미디,15세,1534911
작전,이호재,박용하/김민정/박희순/김무열/조덕현/김준성/이동용/조재윤/박재웅,범죄,15세,1534407
중천,조동오,정우성/김태희/허준호/박상욱/소이현/김광일/유하준/박정학,액션,12세,1531220
벼랑 위의 포뇨,미야자키 하야오,나라 유리아/도이 히로키/야마구치 토모코/토코로 죠지/아마미 유키/나가시마 카즈시게/야노 아키코/히다리 토키에/히라오카 에미,애니메이션,전체관,1521842
오블리비언,조셉 코신스키,톰 크루즈/모건 프리먼/올가 쿠릴렌코/안드레아 라이즈보로/멜리사 레오/니콜라이 코스터-왈도/린지 클리프트/조 벨/제임스 로우링스,액션,15세,1515356
몬스터 호텔 2,젠디 타타코브스키,아담 샌들러/셀레나 고메즈/케빈 제임스/스티브 부세미/앤디 샘버그/데이빗 스페이드/키건 마이클 키/프란 드레셔/멜 브룩스,애니메이션,전체관,1515097
엑소더스: 신들과 왕들,리들리 스콧,크리스찬 베일/조엘 에저튼/시고니 위버/벤 킹슬리/아론 폴/인디라 바르마/존 터투로/이뮨 엘리엇/마리아 발베르드,드라마,12세,1511145
퍼펙트 게임,박희곤,조승우/양동근/최정원/마동석/조진웅/손병호/현쥬니/이도경/김영민,드라마,12세,1507084
더 게임,윤인호,신하균/변희봉/이혜영/손현주/이은성/김혁/추상록/맹봉학/조청호,스릴러,15세,1496214
B형 남자친구,최석원,이동건/한지혜/신이/백일섭/유태웅/정려원/김재인/이유정,코미디,12세,1485454
토이 스토리 3,리 운크리치,톰 행크스/팀 알렌/조안 쿠삭/네드 비티/돈 리클스/마이클 키튼/월리스 쇼운/존 라첸버거/에스텔 해리스,가족,전체관,1484843
킹덤 오브 헤븐,리들리 스콧,올랜도 블룸/에바 그린/리암 니슨/제레미 아이언스/요코 아홀라/쉐인 앳을/팀 바로우/크리스찬 보빙/마튼 초카스,액션,15세,1484000
나니아 연대기:캐스피언 왕자 ,앤드류 아담슨,벤 반스/조지 헨리/스캔다 케인즈/윌리암 모즐리/안나 팝플웰/리암 니슨/워윅 데이비스/세르지오 카스텔리토/피터 딘클리지,어드벤처,전체관,1478573
차이나타운,한준희,김혜수/김고은/엄태구/박보검/고경표/이수경/조현철,범죄,청소년,1472006
해무(海霧),심성보,김윤석/박유천/한예리/이희준/문성근/김상호/유승목/조경숙/정인기,드라마,청소년,1466830
브레이킹 던 part1,빌 콘돈,크리스틴 스튜어트/로버트 패틴슨/다코타 패닝/테일러 로트너/애슐리 그린/매기 그레이스/마이클 쉰/니키 리드/안나 켄드릭,드라마,15세,1462280
홀리데이,양윤호,이성재/최민수/장세진/이얼/문영동/김동현/여현수/이봉규/조안,드라마,18세,1458896
새미의 어드벤쳐 2,벤 스타센,빌리 웅거/팻 캐럴/이사벨 퍼만/카를로스 맥쿨러스 2세/멜라니 그리피스/크리스 앤드류 시을라/신다 애덤스/테리 더글러스/카터 하스팅스,애니메이션,전체관,1452872
각설탕,이환경,임수정/박은수/김유정/김기천/권병길/최학락/김광규/박길수/오태경,드라마,전체관,1446820
위대한 개츠비,바즈 루어만,레오나르도 디카프리오/캐리 멀리건/토비 맥과이어/조엘 에저튼/아일라 피셔/제이슨 클락/엘리자베스 데비키/젬마 워드/캘런 맥오리피,드라마,15세,1445124
인간중독,김대우,송승헌/임지연/조여정/온주완/유해진/박혁권/전혜진/배성우/엄태구,멜로/로맨스,청소년,1441964
궁녀,김미정,박진희/윤세아/서영희/임정은/전혜진/김성령/김미경/김남진/이용이,미스터리,청소년,1438531
잃어버린 세계를 찾아서,에릭 브리빅,브렌든 프레이저/조쉬 허처슨/애니타 브리엠/세스 마이어스/진 마이클 파레/제인 윌러/프랭크 폰테인/지안카를로 칼터비아노,SF,전체관,1438353
다이하드: 굿 데이 투 다이,존 무어,브루스 윌리스/제이 코트니/메리 엘리자베스 윈스티드/율리아 스니기르/세바스티안 코치/콜 하우저/아마우리 놀라스코/메갈린 에치쿤워크/앤 비알리치나,액션,15세,1438056
런닝맨,조동오,신하균/이민호/김상호/조은지/오정세/주현/김의성/정석용/남경읍,액션,15세,1416053
검은 집,신태라,황정민/유선/강신일/김서형/김정팔/유승목/정인기,스릴러,청소년,1408882
구르믈 버서난 달처럼,이준익,황정민/차승원/한지혜/백성현/김창완/송영창/정규수/신정근/류승룡,사극,15세,1407681
허브,허인무,강혜정/배종옥/정경호/이미영/이원종/이영유/이병현/스테이/정성윤,드라마,12세,1406199
예스맨,페이튼 리드,짐 캐리/주이 디샤넬/브래들리 쿠퍼/존 마이클 히긴즈/라이스 다비/대니 마스터슨/피오눌라 플라나건/테렌스 스탬프/샤샤 알렉산더,코미디,15세,1402609
말레피센트,로버트 스트롬버그,안젤리나 졸리/엘르 패닝/샬토 코플리/주노 템플/브렌튼 스웨이츠/엘라 퍼넬/한나 뉴/이멜다 스턴톤/샘 라일리,액션,12세,1397526
라스트 에어벤더,M. 나이트 샤말란,노아 링어/잭슨 라스본/니콜라 펠츠/데브 파텔/클리프 커티스/세이첼 가브리엘/샤운 토웁/아시프 맨드비/디 브래들리 베이커,액션,전체관,1394110
오션스 써틴,스티븐 소더버그,조지 클루니/브래드 피트/맷 데이먼/엘리어트 굴드/알 파치노/마이클 맨텔/에디 제미슨/돈 치들/샤오보 퀸,범죄,12세,1386610
폼페이: 최후의 날,폴 W.S. 앤더슨,키트 해링턴/에밀리 브라우닝/키퍼 서덜랜드/캐리 앤 모스/아데웰 아킨누오예 아바제/제시카 루카스/자레드 해리스/커리 그레이엄/맬랜다 블랙쏜,액션,15세,1373873
찰리와 초콜릿 공장,팀 버튼,조니 뎁/프레디 하이모어/데이빗 켈리/헬레나 본햄 카터/노아 테일러/미시 파일/제임스 폭스/딥 로이/크리스토퍼 리,코미디,전체관,1372700
분홍신,김용균,김혜수/김성수/박연아/고수희,공포(호러),15세,1371122
퓨리,데이비드 에이어,브래드 피트/로건 레먼/샤이아 라보프/마이클 페나/존 번탈/스콧 이스트우드/자비에르 사무엘/제이슨 아이삭스/짐 파랙,액션,15세,1362114
트와일라잇,캐서린 하드윅,크리스틴 스튜어트/로버트 패틴슨/테일러 로트너/마이클 웰치/저스틴 전/피터 파시넬리/켈란 루츠/크리스티안 세라토스/엘리자베스 리저,액션,12세,1356180
귀향,조정래,강하나/최리/손숙/황화순/정무성/서미지/류신/임성철/오지혜,드라마,15세,1349808
알렉산더,올리버 스톤,콜린 파렐/안소니 홉킨스/안젤리나 졸리/발 킬머/자레드 레토/데이빗 베델라/제시 캄/코너 파올로/패트릭 캐럴,전쟁,15세,1348088
차형사,신태라,강지환/성유리/이수혁/김영광/신민철/신정근/박정학/이희준/손병욱,코미디,15세,1346754
은교,정지우,박해일/김무열/김고은/정만식/박철현/장윤실,멜로/로맨스,청소년,1346274
닌자 어쌔신,제임스 맥티그,비/쇼 코스기/벤 마일즈/나오미 해리스/릭윤,액션,청소년,1345025
신들의 전쟁,타셈 싱,헨리 카빌/미키 루크/프리다 핀토/켈란 루츠/존 허트/이사벨 루카스/조셉 모건/루크 에반스/스티븐 도프,드라마,청소년,1338411
미스터 고,김용화,성동일/서교/김희원/김정태/김응수/김강우/조재윤/김흥래/변희봉,코미디,12세,1328890
굿 다이노,피터 손,레이몬드 오초아/제프리 라이트/프란시스 맥도맨드/스티브 잔/잭 브라이트/안나 파킨/샘 엘리어트/마커스 스크리브너/데이비드 보트,애니메이션,전체관,1328392
드라큘라: 전설의 시작,개리 쇼어,루크 에반스/도미닉 쿠퍼/찰스 댄스/사라 가돈/잭 맥고원/아트 파킨슨/폴 케이/노아 헌틀리/윌리엄 휴스턴,판타지,15세,1321751
청담보살,김진영,박예진/임창정/김희원/서영희/서유정/이준혁/양택조/이용이/박효주,멜로/로맨스,15세,1321005
월ㆍE,앤드류 스탠튼,벤 버트/엘리사 나이트/제프 갈린/프레드 윌러드/맥클린 톨크/존 라첸버거/캐시 나지미/시고니 위버,애니메이션,전체관,1320830
싸움의 기술,신한솔,백윤식/재희/김응수/최여진/박원상/홍승진/박기웅/전재형/권병길,코미디,15세,1313727
가디언즈 오브 갤럭시,제임스 건,크리스 프랫/조 샐다나/데이브 바티스타/빈 디젤/브래들리 쿠퍼/리 페이스/마이클 루커/카렌 길런/디몬 하운수,액션,12세,1311190
간첩,우민호,김명민/염정아/유해진/변희봉/정겨운/정만식/이승호/오나라/천보근,드라마,15세,1310895
월드 인베이젼,조나단 리브스만,아론 에크하크/미셸 로드리게즈/브리짓 모이나한/레이먼 로드리게즈/윌 로스하/코리 하드릭트/짐 파랙/지노 안소니 페시/니요,SF,12세,1307873
영화는 영화다,장훈,소지섭/강지환/홍수현/고창석/송용태/한기중,액션,청소년,1307688
만남의 광장,김종진,임창정/박진희/임현식/이대로/이한위/심원철/이상훈/김나운/홍기훈,코미디,12세,1306434
못말리는 결혼,김성욱,김수미/임채무/유진/하석진/안연홍/이재구/성은,코미디,15세,1304431
엑스맨 탄생: 울버린,개빈 후드,휴 잭맨/리브 슈라이버/대니 휴스턴/린 콜린스,SF,12세,1303452
로맨틱 홀리데이,낸시 마이어스,카메론 디아즈/케이트 윈슬렛/주드 로/잭 블랙/엘리 웰라치/루퍼스 스웰/에드워드 번즈,코미디,15세,1300645
최강로맨스,김정우,이동욱/현영/이정현/전수경/정재진/김재만/김승민/주석태/이명진,멜로/로맨스,15세,1299274
주토피아,바이론 하워드/리치 무어,지니퍼 굿윈/제이슨 베이트먼/샤키라/이드리스 엘바/알란 터딕/J.K. 시몬스/제니 슬레이트/보니 헌트/케이트 로위스,애니메이션,전체관,1288125
셜록: 유령신부,더글라스 맥키넌,베네딕트 컴버배치/마틴 프리먼/아만다 애빙턴/루퍼트 그레이브즈/루 브릴리/나타샤 오키프/우나 스텁스/조나단 아리스/제럴드 키드,범죄,12세,1278885
킹콩을 들다,박건용,이범수/조안/이윤회/최희서/전보미/김민영/이슬비/박준금/우현,드라마,전체관,1277800
소스 코드,던칸 존스,제이크 질렌할/미셸 모나한/베라 파미가/제프리 라이트/마이클 아든/카스 엔바/러셀 피터스/브렌트 스카그포드/크레이그 토마스,액션,12세,1277301
달콤한 인생,김지운,이병헌/김영철/신민아/김뢰하/이기영,액션,18세,1271595
황진이,장윤현,송혜교/유지태/류승룡/윤여정/오태경/정유미/예수정/조승연/김응수,드라마,15세,1270644
이장과 군수,장규성,차승원/유해진/변희봉/최정원/배일집/남일우/전원주/이재구/김응수,코미디,12세,1269142
즐거운 인생,이준익,정진영/김윤석/김상호/장근석/김호정/추귀정/고아성/다야/이정연,드라마,전체관,1263835
미스터 소크라테스,최진원,김래원/강신일/이종혁/윤태영/박성웅/정욱/주명철/허정민/윤서현,액션,18세,1261965
마다가스카 2,에릭 다넬/톰 맥그라스/콘래드 베논,벤 스틸러/크리스 록/데이빗 쉼머/제이다 핀켓 스미스/사챠 바론 코헨/베니 맥/세드릭 더 엔터테이너/앤디 리치터/베니 맥/알렉 볼드윈,애니메이션,전체관,1247015
간기남,김형준,박희순/박시연/주상욱/김정태/이한위/이광수/차수연/김윤성/윤재,코미디,청소년,1246185
꿀벌대소동,스티브 히크너/사이몬 J.스미스,제리 사인펠트/르네 젤위거/매튜 브로데릭/패트릭 워버튼/존 굿맨/크리스 록/캐시 베이츠/배리 레빈슨/래리 킹,가족,전체관,1240953
행복,허진호,황정민/임수정/김기천/유승목,드라마,15세,1239789
육혈포 강도단,강효진,나문희/김수미/김혜옥/임창정/김희원/김광규/강경현/장원영/전헌태,코미디,15세,1233582
천군,민준기,박중훈/김승우/황정민/공효진/김승철/김병춘/김수현/마동석/김구택,액션,15세,1232992
메리다와 마법의 숲,마크 앤드류스/브렌다 채프먼,켈리 맥도날드/빌리 코놀리/엠마 톰슨/줄리 윌터스/크레이그 퍼거슨/케빈 맥키드/로비 콜트레인/스티븐 크리/존 라첸버거,애니메이션,전체관,1231024
심야의 F.M.,김상만,수애/유지태/마동석/정만식/최송현/김민규/신다은/이준하/최희원,스릴러,청소년,1228673
찌라시: 위험한 소문,김광식,김강우/정진영/고창석/박성웅/박원상/김의성/고원희/이채은/이준혁,범죄,15세,1221420
포비든 킹덤: 전설의 마스터를 찾아서,롭 민코프,성룡/이연걸/마이클 안가라노/유역비/리빙빙/예성,액션,12세,1221352
토탈 리콜,렌 와이즈먼,콜린 파렐/케이트 베킨세일/제시카 비엘/브라이언 크랜스톤/존 조/빌 나이/에단 호크/보킴 우드바인,SF,15세,1219637
결혼전야,홍지영,김강우/김효진/이연희/택연/마동석/구잘 투르수노바/이희준/고준희,멜로/로맨스,15세,1212270
내셔널 트레져,존 터틀타웁,니콜라스 케이지/존 보이트/하비 케이틀/다이앤 크루거/숀 빈/저스틴 바사/마크 펠레그리노/크리스토퍼 플러머,액션,12세,1212037
레지던트 이블 4: 끝나지 않은 전쟁 3D,폴 W.S. 앤더슨,밀라 요보비치/알리 라터/킴 코티스/숀 로버츠/세르지오 페리스 멘체타/스펜서 로크/보리스 코조/웬트워스 밀러,공포(호러),청소년,1209538
엘리시움,닐 블롬캠프,맷 데이먼/조디 포스터/샬토 코플리/앨리스 브라가/디에고 루나/와그너 모라/윌리암 피츠너/브랜든 오렛,SF,청소년,1207732
인사동 스캔들,박희곤,김래원/엄정화/임하룡/홍수현/김정태/김병옥/마동석/오정세,드라마,15세,1206101
깡철이,안권태,유아인/김해숙/김정태/김성오/정유미/이시언/신정근/김인우,드라마,15세,1204666
형사; Duelist,이명세,하지원/강동원/안성기/송영창/윤주상/도용구/심철종/배중식,멜로/로맨스,12세,1203146
몬스터 하우스,길 키넌,밋첼 머소/샘 러너/스펜서 로크/스티브 부세미/매기 질렌할/제이슨 리/케빈 제임스/닉 캐논,공포(호러),전체관,1201649
R2B: 리턴투베이스,김동원,비/유준상/신세경/김성수/이하나/이종석/정경호/정한용,액션,15세,1201640
더 웹툰: 예고살인,김용균,이시영/엄기준/현우/문가영/권해효/김도영,공포(호러),15세,1201033
짝패,류승완,류승완/정두홍/이범수/정석용/안길강/이주실/김병옥/조덕현,액션,18세,1196520
파송송 계란탁,오상훈,임창정/이인성/이상훈/맹상훈/엄수경/최은지/최무인/박혜원,코미디,15세,1193150
몽정기2,정초신,이지훈/강은비/전혜빈/박슬기/신주아/전재형/이재필/박길수,코미디,15세,1188815
나니아 연대기: 새벽 출정호의 항해,마이클 앱티드,벤 반스/조지 헨리/윌 폴터/스캔다 케인즈/윌리암 모즐리/안나 팝플웰/로라 브렌트/사이먼 페그,판타지,전체관,1182228
빅매치,최호,이정재/신하균/이성민/보아/김의성/배성우/손호준/김윤성,액션,15세,1177438
서양 골동 양과자점 앤티크,민규동,주지훈/김재욱/유아인/최지로/앤디 질렛/김창완/이휘향/오미희,드라마,15세,1173310
웜 바디스,조나단 레빈,니콜라스 홀트/테레사 팔머/존 말코비치/애널리 팁튼/데이브 프랭코/코리 하드릭트/랍 코드리/돈 포드,멜로/로맨스,15세,1169839
돈의 맛,임상수,김강우/백윤식/윤여정/김효진/마오이 테일러/온주완/권병길/황정민,드라마,청소년,1165488
연애술사,천세환,박진희/연정훈/조미령/하하/오윤아/최원영,멜로/로맨스,15세,1163274
장수상회,강제규,박근형/윤여정/조진웅/한지민/김정태/황우슬혜/이준혁/김재화,멜로/로맨스,12세,1160935
가문의 영광5 - 가문의 귀환,정용기,정준호/김민정/유동근/성동일/박상욱/박근형/윤두준/왕석현,코미디,15세,1160021
슬로우 비디오,김영탁,차태현/남상미/오달수/고창석/진경/유영/김헌/김강현,드라마,12세,1159787
잃어버린 세계를 찾아서 2: 신비의 섬,브레드 페이튼,드웨인 존슨/마이클 케인/조쉬 허처슨/바네사 허진스/크리스틴 데이비스/루이스 구즈만/애너 콜웰/마이클 비슬리,액션,전체관,1149628
용서는 없다,김형준,설경구/류승범/한혜진/성지루/남경읍/박상욱/이정헌/이정우,범죄,청소년,1144238
안녕 형아,임태형,박지빈/배종욱/박원상/서대한/최우혁,드라마,전체관,1143136
10000 BC,롤랜드 에머리히,스티븐 스트레이트/카밀라 벨/클리프 커티스/조엘 버겔/에피프 벤 바드라/모 지널/나다니엘 베어링/모나 해몬드,어드벤처,15세,1140118
고령화 가족,송해성,박해일/윤제문/공효진/윤여정/진지희/예지원/김영재/유승목,드라마,15세,1139250
김종욱 찾기,장유정,임수정/공유/천호진/전수경/류승수/이청아,멜로/로맨스,12세,1130638
헝거게임: 캣칭 파이어,프란시스 로렌스,제니퍼 로렌스/조쉬 허처슨/리암 헴스워스/우디 해럴슨/샘 클라플린/필립 세이모어 호프만/토비 존스/지나 말론,판타지,15세,1125739
슬럼독 밀리어네어,대니 보일,데브 파텔/프리다 핀토/타나이 크헤다/아유시 마헤시 카데카/탄비 가네시 론카/루비아나 알리/마드허 미탈/아슈토시 로보 가지와라,드라마,15세,1125032
성난 변호사,허종호,이선균/김고은/임원희/장현성/김윤혜/홍성덕/곽인준/최재웅,범죄,15세,1124918
6년째 연애중,박현진,김하늘/윤계상/신성록/차현정/옥지영/서동원/정윤민,멜로/로맨스,15세,1123294
아랑,안상훈,송윤아/이동욱/이종수/김해인/정원중/이승철/추소영,공포(호러),15세,1122399
특수본,황병국,엄태웅/주원/정진영/성동일/이태임/김정태/김영재/이희준,액션,15세,1118258
스타 트렉: 더 비기닝,J.J. 에이브럼스,크리스 파인/제커리 퀸토/에릭 바나/사이먼 페그/위노나 라이더/칼 어번/존 조/조 샐다나,SF,12세,1111865
회사원,임상윤,소지섭/이미연/곽도원/김동준/이경영/한보배/박진우,액션,청소년,1110523
간신,민규동,주지훈/김강우/천호진/임지연/이유영/송영창/조한철/차지연,사극,청소년,1110246
그 여자 작사 그 남자 작곡,마크 로렌스,드류 베리모어/휴 그랜트/셔만 알퍼트/제이슨 앤툰/블레이크 박슨델/헤일리 베넷/테레사 베넷/키너 버무데즈,멜로/로맨스,12세,1103900
박물관이 살아있다 : 비밀의 무덤,숀 레비,벤 스틸러/로빈 윌리엄스/댄 스티븐스/오웬 윌슨/레벨 윌슨/벤 킹슬리/딕 반 다이크/스티브 쿠건,어드벤처,전체관,1101678
베스트셀러,이정호,엄정화/류승룡/이도경/조진웅/이성민/김화영/박사랑/최무성,미스터리,15세,1099665
지금 사랑하는 사람과 살고 있습니까?,정윤수,엄정화/박용우/이동건/한채영/최재원/오지영/최용민/이영숙,드라마,청소년,1095119
007 카지노 로얄,마틴 캠벨,다니엘 크레이그/에바 그린/매즈 미켈슨/주디 덴치/제프리 라이트/지안카를로 지아니니/카테리나 뮤리노/시몬 압카리언,액션,15세,1088307
그때 그 사람들,임상수,한석규/백윤식/송재호/김응수/조상건/권병길/정원중/조은지,미스터리,15세,1083962
마루 밑 아리에티,요네바야시 히로마사,시다 미라이/키미키 류노스케/미우라 토모카즈/오타케 시노부/키키 키린/타케시타 케이코,애니메이션,전체관,1083746
가디언즈,피터 램지,크리스 파인/알렉 볼드윈/주드 로/아일라 피셔/휴 잭맨/다코타 고요/양세나/카마니 그리핀,애니메이션,전체관,1075584
